id name Chinese Math English Physics Chmistry PE
1321 zhangxin 88.00 89.00 93.00 87.00 80.00 82.00
1322 wuyu 83.00 84.00 90.00 89.00 87.00 90.00
1323 fanjiecan 89.00 90.00 82.00 88.00 87.00 85.00
1324 wangzheng 85.00 83.00 89.00 91.00 84.00 80.00
1325 qianwenbo 81.00 88.00 83.00 85.00 84.00 87.00
1326 qinzengye 82.00 90.00 81.00 86.00 85.00 73.00
1327 zhangsan 85.00 81.00 88.00 91.00 87.00 83.00
1328 lisi 80.00 81.00 76.00 78.00 75.00 82.00
1329 mayun 75.00 83.00 85.00 77.00 70.00 81.00
1330 xihaiyang 78.00 80.00 85.00 76.00 78.00 91.00
1331 liuhuilong 80.00 83.00 75.00 76.00 74.00 73.00
1332 zhangran 84.00 75.00 81.00 83.00 76.00 71.00
1333 xuchan 87.00 94.00 91.00 96.00 98.00 86.00
1334 chengrui 88.00 85.00 81.00 83.00 84.00 78.00
1335 yanlong 84.00 81.00 78.00 88.00 91.00 86.00
1336 shaocheng 85.00 87.00 83.00 90.00 88.00 75.00
1337 wangmazi 87.00 84.00 82.00 76.00 80.00 81.00
